0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
BPM,157,135,168,173,106,99,102,137,148,112,109,124,102,117,112,133,123,127,87,74,138,142,96,138,112,130,123,148,142,154,146,181,80,88,122,119,156,152,168,72,118,138,105,186,100,168,115,75,131,76,108,194,90,122,149,92,96,123,99,124,132,86,166,176,99,103,92,105,136,81,77,171,183,178,139,131,101,110,104,159,160,88,83,79,105,160,120,100,115,145,110,132,128,130,157,160,106,61,92,112,105,104,136,162,160,93,107,101,103,122,177,94,122,68,171,75,109,123,137,129,193,85,138,79,120,99,130,125,136,126,96,119,165,58,94,103,120,91,128,75,128,139,93,89,115,171,141,173,131,124,96,101,124,121,126,127,97,99,138,136,92,129,129,130,128,79,98,123,104,112,100,110,100,173,80,190,164,92,91,114,98,109,133,115,92,138,159,138,136,120,131,115,105,159,170,112,92,122,147,105
Energy,30,79,69,96,82,46,71,96,92,67,5,46,88,93,81,42,90,54,31,65,42,51,89,99,74,48,68,76,24,70,44,59,47,20,87,53,79,81,60,21,82,64,68,99,85,57,46,64,72,77,35,43,26,77,30,76,60,59,70,59,41,56,75,74,87,86,69,73,43,65,18,58,44,68,48,80,24,96,92,67,71,32,25,60,91,85,76,55,67,91,35,55,40,70,93,74,84,13,90,81,86,44,80,62,61,37,79,69,86,49,76,84,74,72,74,67,42,72,72,82,58,76,44,36,60,77,94,41,85,95,64,38,56,40,77,81,56,63,37,92,77,77,77,47,97,20,30,55,72,55,38,78,46,41,17,56,55,48,93,93,57,39,72,32,91,27,69,69,29,8,19,33,63,30,72,76,76,57,59,83,62,78,20,72,95,56,99,55,97,69,71,70,66,64,61,59,38,87,93,44
Danceability,53,50,66,43,58,54,71,37,36,91,44,74,54,38,65,42,52,38,27,62,21,60,63,51,65,55,53,91,34,68,56,56,62,73,64,68,29,32,58,46,67,71,28,38,58,38,83,37,64,46,47,35,43,30,33,52,53,48,69,47,62,44,70,66,55,63,76,68,28,50,55,51,56,30,52,75,42,43,66,43,50,52,42,56,46,55,70,59,72,38,39,85,40,52,23,27,70,27,50,53,56,29,67,32,36,48,69,62,70,35,58,52,64,60,69,30,35,82,28,53,43,37,46,53,85,65,37,67,58,51,59,52,48,25,37,71,41,67,61,51,74,55,52,86,60,34,71,34,49,50,54,44,56,83,33,61,62,59,55,66,62,59,61,53,60,19,67,69,66,53,48,63,61,32,51,79,50,26,56,42,66,70,34,53,66,74,24,59,41,79,78,73,95,52,45,30,57,55,51,29
Loudness (dB),-14,-11,-9,-4,-5,-9,-6,-5,-4,-3,-16,-8,-6,-2,-5,-10,-7,-5,-13,-7,-9,-10,-6,-3,-7,-8,-4,-5,-11,-10,-7,-9,-6,-12,-3,-12,-6,-7,-6,-11,-9,-10,-9,-2,-5,-5,-10,-6,-7,-5,-11,-11,-13,-3,-7,-5,-6,-5,-6,-8,-14,-7,-9,-7,-6,-7,-5,-8,-7,-7,-11,-5,-8,-8,-8,-5,-11,-4,-6,-6,-8,-11,-14,-7,-4,-8,-5,-12,-12,-4,-10,-5,-9,-7,-5,-5,-5,-14,-7,-4,-6,-7,-5,-6,-6,-8,-4,-7,-4,-7,-6,-4,-4,-4,-5,-5,-8,-9,-5,-7,-5,-9,-9,-7,-12,-7,-5,-8,-6,-5,-10,-9,-6,-9,-6,-4,-11,-12,-9,-5,-6,-9,-11,-9,-6,-11,-12,-8,-6,-7,-7,-5,-7,-14,-14,-6,-8,-10,-4,-6,-8,-14,-8,-17,-4,-9,-7,-5,-11,-16,-15,-9,-5,-13,-6,-7,-8,-8,-10,-5,-9,-8,-14,-6,-5,-10,-4,-8,-4,-4,-9,-8,-4,-5,-7,-10,-10,-4,-3,-7
Liveness,11,17,7,3,10,14,13,12,10,24,11,26,53,81,14,16,7,9,63,10,11,11,9,12,23,10,12,8,12,33,11,20,11,7,29,8,8,15,48,11,5,19,14,37,9,35,70,17,14,14,8,10,9,12,11,57,11,18,16,28,10,25,19,22,17,7,57,14,6,33,11,37,12,43,9,42,19,17,61,14,43,9,11,38,36,32,13,11,5,24,11,8,9,13,93,63,12,33,15,16,21,8,6,60,11,12,58,6,10,21,25,10,10,35,36,15,10,36,20,12,19,58,10,9,19,7,19,10,79,30,9,10,18,9,9,7,16,10,11,40,51,13,6,27,13,11,10,12,31,9,8,29,10,5,32,4,30,9,9,70,11,7,36,97,12,13,10,9,11,11,11,11,10,70,6,10,14,11,23,16,7,6,34,11,14,8,83,29,11,14,6,6,5,17,9,63,13,21,9,10
Valence,68,81,52,37,87,14,54,21,23,66,31,32,59,40,82,25,36,19,12,56,12,35,81,65,52,18,55,87,19,51,21,68,33,62,45,68,51,12,65,26,78,10,49,77,58,26,88,20,80,35,28,26,27,9,14,63,35,20,48,18,51,70,91,91,54,73,73,94,7,57,9,67,44,77,46,37,30,56,46,38,33,18,21,44,61,46,68,64,65,27,16,81,22,35,28,42,89,18,67,21,40,16,79,36,49,14,75,56,89,21,66,46,36,37,6,68,27,69,17,34,27,64,15,40,87,68,37,50,58,63,49,13,54,11,42,73,16,86,35,31,61,42,93,84,72,30,48,36,87,63,39,19,19,88,19,24,31,15,81,46,34,15,80,46,41,10,83,49,30,31,6,47,33,44,47,49,58,15,48,61,66,39,7,59,52,98,37,50,35,22,61,41,76,32,48,40,53,32,31,45
Length (Duration),201,207,341,269,256,247,257,366,223,290,162,232,214,639,173,236,288,276,352,288,296,218,176,197,261,270,298,298,259,306,310,306,211,186,185,264,290,202,263,266,629,177,237,176,197,278,331,355,213,234,216,275,259,467,243,219,305,218,214,236,215,144,195,240,234,357,297,281,219,273,212,279,288,249,247,281,229,186,229,394,375,226,219,210,258,283,210,264,231,266,306,219,240,268,403,321,219,232,275,306,217,207,211,308,237,216,206,208,298,273,201,215,263,242,326,306,199,225,231,231,193,302,294,238,433,236,256,238,302,324,256,270,154,245,248,257,311,245,226,272,289,253,181,184,212,197,203,280,146,196,204,602,245,324,259,297,270,353,189,212,243,423,218,281,305,263,213,212,233,135,141,193,241,264,262,346,248,319,284,501,256,289,287,324,229,170,187,171,218,243,414,252,284,272,209,364,208,240,297,246
Acousticness,94,17,2,0,1,0,6,0,0,0,88,1,2,18,0,84,0,2,1,57,16,5,5,0,18,48,0,7,92,8,73,32,31,88,49,34,0,8,0,91,3,0,0,0,11,4,48,0,1,1,72,16,95,0,78,42,0,27,22,42,7,35,13,66,1,21,3,11,28,22,89,3,29,83,3,24,82,0,38,9,8,33,84,18,2,2,12,47,6,0,67,15,3,4,29,5,0,94,1,0,1,79,1,3,54,74,6,28,2,47,16,0,27,8,1,3,30,4,1,7,4,22,66,53,6,0,0,84,53,0,9,76,32,45,18,1,1,1,84,1,9,0,14,0,0,76,44,33,39,68,52,1,72,46,86,18,19,64,4,46,10,13,29,53,0,86,6,39,87,92,99,74,43,77,27,3,0,4,28,1,51,9,13,0,13,11,1,0,0,8,46,0,3,39,2,57,85,0,13,91
Speechiness,3,7,17,4,3,2,3,14,8,7,4,8,3,10,3,4,6,3,3,18,3,4,3,9,3,3,4,17,4,3,2,3,3,3,12,4,4,5,5,3,8,9,4,6,3,3,6,3,4,3,3,3,5,3,3,3,2,5,3,3,3,3,10,8,3,5,5,2,3,4,3,6,3,25,3,5,5,4,17,3,5,2,3,3,6,4,6,3,4,9,3,4,3,4,17,4,5,4,6,3,6,3,3,3,4,3,17,3,3,3,12,3,4,3,26,5,3,14,4,4,30,5,3,2,4,23,7,3,5,6,3,4,3,4,7,3,3,5,3,9,3,3,6,5,5,3,3,4,5,3,3,4,3,13,4,3,2,2,4,16,3,6,3,8,8,4,3,3,3,5,5,3,3,3,6,24,3,3,3,4,3,5,3,3,11,4,10,3,5,3,19,3,6,2,3,5,3,3,7,3
Popularity,71,39,69,76,59,45,74,69,77,82,49,74,34,26,66,48,69,57,46,74,81,67,55,69,16,50,56,71,48,59,84,57,63,74,72,44,75,40,72,42,59,53,74,78,65,56,43,65,67,51,69,52,69,52,67,43,57,44,77,38,32,47,48,70,77,63,56,59,55,64,73,65,58,46,67,55,58,57,30,45,45,48,70,58,72,42,42,43,43,65,19,74,49,41,32,75,62,38,30,39,83,44,56,40,58,75,75,47,72,41,74,54,80,59,77,59,51,71,76,64,70,62,39,70,44,75,75,68,42,56,58,36,67,52,59,74,63,54,64,60,69,63,42,74,64,43,44,54,75,62,49,38,38,44,44,64,66,39,59,58,52,46,64,41,76,74,41,73,80,50,56,56,64,75,78,46,40,47,50,49,35,70,56,44,69,49,58,26,53,59,39,52,80,52,36,59,39,73,68,59
